"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4",500,4,21,"gamlss.longitudinal",-1617.64809319804,-2397.43864273654,779.7905495385,-0.80882404659902,200,0.741351486036566,0.5
"n500_d4",500,4,21,"gamlss.longitudinal",-1617.64809319804,-2397.43864273654,779.7905495385,-0.80882404659902,200,76.9819447899491,2
"n500_d4",500,4,21,"gamlss2",-2428.90275241998,-2428.90275241998,0,-1.21445137620999,200,1.09157022046218,0.5
"n500_d4",500,4,21,"gamlss2",-2428.90275241998,-2428.90275241998,0,-1.21445137620999,200,111.553424164026,2
"n500_d4",500,4,22,"gamlss.longitudinal",-1527.27102127124,-2308.80544421718,781.534422945941,-0.763635510635621,200,0.644980538567443,0.5
"n500_d4",500,4,22,"gamlss.longitudinal",-1527.27102127124,-2308.80544421718,781.534422945941,-0.763635510635621,200,36.7667260531553,2
"n500_d4",500,4,22,"gamlss2",-2315.26424274254,-2315.26424274254,0,-1.15763212137127,200,1.10278778992087,0.5
"n500_d4",500,4,22,"gamlss2",-2315.26424274254,-2315.26424274254,0,-1.15763212137127,200,85.1491407982991,2
"n500_d4",500,4,23,"gamlss.longitudinal",-1518.76576823226,-2350.57347337868,831.80770514642,-0.759382884116131,200,0.671722433896852,0.5
"n500_d4",500,4,23,"gamlss.longitudinal",-1518.76576823226,-2350.57347337868,831.80770514642,-0.759382884116131,200,25.4408994976066,2
"n500_d4",500,4,23,"gamlss2",-2350.30205969315,-2350.30205969315,0,-1.17515102984658,200,1.14763996531396,0.5
"n500_d4",500,4,23,"gamlss2",-2350.30205969315,-2350.30205969315,0,-1.17515102984658,200,80.4637431731602,2
"n500_d4",500,4,24,"gamlss.longitudinal",-1397.64431653962,-2188.77267261968,791.128356080056,-0.698822158269811,200,0.649694042114109,0.5
"n500_d4",500,4,24,"gamlss.longitudinal",-1397.64431653962,-2188.77267261968,791.128356080056,-0.698822158269811,200,34.8660308751358,2
"n500_d4",500,4,24,"gamlss2",-2263.47796993122,-2263.47796993122,0,-1.13173898496561,200,1.08790033326516,0.5
"n500_d4",500,4,24,"gamlss2",-2263.47796993122,-2263.47796993122,0,-1.13173898496561,200,82.4928683882705,2
"n500_d4",500,4,25,"gamlss.longitudinal",-1525.15789901236,-2301.46399204569,776.30609303333,-0.762578949506181,200,0.733769846343527,0.5
"n500_d4",500,4,25,"gamlss.longitudinal",-1525.15789901236,-2301.46399204569,776.30609303333,-0.762578949506181,200,41.7374783623053,2
"n500_d4",500,4,25,"gamlss2",-2328.6867887229,-2328.6867887229,0,-1.16434339436145,200,1.20926252396803,0.5
"n500_d4",500,4,25,"gamlss2",-2328.6867887229,-2328.6867887229,0,-1.16434339436145,200,90.389287226198,2
"n500_d4",500,4,26,"gamlss.longitudinal",-1583.71934963776,-2344.93856821867,761.219218580909,-0.79185967481888,200,0.722776295618807,0.5
"n500_d4",500,4,26,"gamlss.longitudinal",-1583.71934963776,-2344.93856821867,761.219218580909,-0.79185967481888,200,50.4521014577773,2
"n500_d4",500,4,26,"gamlss2",-2353.42656758149,-2353.42656758149,0,-1.17671328379074,200,1.1469280676882,0.5
"n500_d4",500,4,26,"gamlss2",-2353.42656758149,-2353.42656758149,0,-1.17671328379074,200,326.564260130239,2
"n500_d4",500,4,27,"gamlss.longitudinal",-1534.10512860707,-2289.37652571074,755.271397103675,-0.767052564303535,200,0.706777655261068,0.5
"n500_d4",500,4,27,"gamlss.longitudinal",-1534.10512860707,-2289.37652571074,755.271397103675,-0.767052564303535,200,32.8871051466002,2
"n500_d4",500,4,27,"gamlss2",-2313.61236765753,-2313.61236765753,0,-1.15680618382877,200,1.1124838464685,0.5
"n500_d4",500,4,27,"gamlss2",-2313.61236765753,-2313.61236765753,0,-1.15680618382877,200,75.4304244160974,2
"n500_d4",500,4,28,"gamlss.longitudinal",-1624.39386147104,-2401.23636462313,776.842503152086,-0.81219693073552,200,0.741688652795282,0.5
"n500_d4",500,4,28,"gamlss.longitudinal",-1624.39386147104,-2401.23636462313,776.842503152086,-0.81219693073552,200,44.96616168293,2
"n500_d4",500,4,28,"gamlss2",-2412.66681288594,-2412.66681288594,0,-1.20633340644297,200,1.06405170496763,0.5
"n500_d4",500,4,28,"gamlss2",-2412.66681288594,-2412.66681288594,0,-1.20633340644297,200,93.7335141779523,2
"n500_d4",500,4,29,"gamlss.longitudinal",-1488.33786026502,-2292.13399205667,803.796131791653,-0.744168930132509,200,0.681372069547799,0.5
"n500_d4",500,4,29,"gamlss.longitudinal",-1488.33786026502,-2292.13399205667,803.796131791653,-0.744168930132509,200,41.9321769251454,2
"n500_d4",500,4,29,"gamlss2",-2316.20868742759,-2316.20868742759,0,-1.1581043437138,200,1.24197729214825,0.5
"n500_d4",500,4,29,"gamlss2",-2316.20868742759,-2316.20868742759,0,-1.1581043437138,200,137.869650554753,2
"n500_d4",500,4,30,"gamlss.longitudinal",-1474.88273653732,-2313.71524118148,838.832504644163,-0.737441368268659,200,0.711224900026915,0.5
"n500_d4",500,4,30,"gamlss.longitudinal",-1474.88273653732,-2313.71524118148,838.832504644163,-0.737441368268659,200,36.7696262237099,2
"n500_d4",500,4,30,"gamlss2",-2321.58021807452,-2321.58021807452,0,-1.16079010903726,200,1.22062657604927,0.5
"n500_d4",500,4,30,"gamlss2",-2321.58021807452,-2321.58021807452,0,-1.16079010903726,200,221.790326275205,2
"n500_d4",500,4,31,"gamlss.longitudinal",-1673.8682491882,-2422.9115409474,749.0432917592,-0.8369341245941,200,0.805289031535588,0.5
"n500_d4",500,4,31,"gamlss.longitudinal",-1673.8682491882,-2422.9115409474,749.0432917592,-0.8369341245941,200,70.9086795622247,2
"n500_d4",500,4,31,"gamlss2",-2423.41487700019,-2423.41487700019,0,-1.2117074385001,200,1.23808521151286,0.5
"n500_d4",500,4,31,"gamlss2",-2423.41487700019,-2423.41487700019,0,-1.2117074385001,200,161.5647361878,2
"n500_d4",500,4,32,"gamlss.longitudinal",-1532.89197502319,-2359.56918297041,826.677207947216,-0.766445987511595,200,0.741856300171348,0.5
"n500_d4",500,4,32,"gamlss.longitudinal",-1532.89197502319,-2359.56918297041,826.677207947216,-0.766445987511595,200,41.4601075178167,2
"n500_d4",500,4,32,"gamlss2",-2407.48108192538,-2407.48108192538,0,-1.20374054096269,200,1.21204937736495,0.5
"n500_d4",500,4,32,"gamlss2",-2407.48108192538,-2407.48108192538,0,-1.20374054096269,200,111.467635573497,2
"n500_d4",500,4,33,"gamlss.longitudinal",-1550.1674061707,-2279.97594119751,729.808535026816,-0.775083703085348,200,0.649075355697214,0.5
"n500_d4",500,4,33,"gamlss.longitudinal",-1550.1674061707,-2279.97594119751,729.808535026816,-0.775083703085348,200,18.7660572898495,2
"n500_d4",500,4,33,"gamlss2",-2275.6749058415,-2275.6749058415,0,-1.13783745292075,200,1.07450174110205,0.5
"n500_d4",500,4,33,"gamlss2",-2275.6749058415,-2275.6749058415,0,-1.13783745292075,200,87.9922689841728,2
"n500_d4",500,4,34,"gamlss.longitudinal",-1555.85687310155,-2322.61294579786,766.756072696311,-0.777928436550774,200,0.664948711529234,0.5
"n500_d4",500,4,34,"gamlss.longitudinal",-1555.85687310155,-2322.61294579786,766.756072696311,-0.777928436550774,200,33.1642142367198,2
"n500_d4",500,4,34,"gamlss2",-2335.59738888543,-2335.59738888543,0,-1.16779869444271,200,1.38950149679728,0.5
"n500_d4",500,4,34,"gamlss2",-2335.59738888543,-2335.59738888543,0,-1.16779869444271,200,405.014690405124,2
"n500_d4",500,4,35,"gamlss.longitudinal",-1444.34723861522,-2250.43086283674,806.083624221526,-0.722173619307609,200,0.68427345721938,0.5
"n500_d4",500,4,35,"gamlss.longitudinal",-1444.34723861522,-2250.43086283674,806.083624221526,-0.722173619307609,200,46.2670217011047,2
"n500_d4",500,4,35,"gamlss2",-2273.36612220461,-2273.36612220461,0,-1.1366830611023,200,1.17321174976642,0.5
"n500_d4",500,4,35,"gamlss2",-2273.36612220461,-2273.36612220461,0,-1.1366830611023,200,101.127358260749,2
"n500_d4",500,4,36,"gamlss.longitudinal",-1536.78991309758,-2334.76703058057,797.977117482985,-0.76839495654879,200,0.676031351978591,0.5
"n500_d4",500,4,36,"gamlss.longitudinal",-1536.78991309758,-2334.76703058057,797.977117482985,-0.76839495654879,200,25.1400763478874,2
"n500_d4",500,4,36,"gamlss2",-2348.99588078149,-2348.99588078149,0,-1.17449794039074,200,1.14310667213751,0.5
"n500_d4",500,4,36,"gamlss2",-2348.99588078149,-2348.99588078149,0,-1.17449794039074,200,85.1869860480494,2
"n500_d4",500,4,37,"gamlss.longitudinal",-1509.0467946623,-2345.83159052383,836.784795861527,-0.754523397331151,200,0.770073611674437,0.5
"n500_d4",500,4,37,"gamlss.longitudinal",-1509.0467946623,-2345.83159052383,836.784795861527,-0.754523397331151,200,74.929961535007,2
"n500_d4",500,4,37,"gamlss2",-2341.87166700343,-2341.87166700343,0,-1.17093583350171,200,1.28285440005782,0.5
"n500_d4",500,4,37,"gamlss2",-2341.87166700343,-2341.87166700343,0,-1.17093583350171,200,139.119149486489,2
"n500_d4",500,4,38,"gamlss.longitudinal",-1503.00454998352,-2279.91622249413,776.91167251061,-0.75150227499176,200,0.7272963958816,0.5
"n500_d4",500,4,38,"gamlss.longitudinal",-1503.00454998352,-2279.91622249413,776.91167251061,-0.75150227499176,200,48.8624802295829,2
"n500_d4",500,4,38,"gamlss2",-2292.56977879571,-2292.56977879571,0,-1.14628488939785,200,1.28191214488311,0.5
"n500_d4",500,4,38,"gamlss2",-2292.56977879571,-2292.56977879571,0,-1.14628488939785,200,120.276296991055,2
