"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse","mean_logLik","mean_df"
"n500_d4","gamlss.longitudinal",500,4,"theta",23,0.0226549632419967,0.0258236754928191,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",24,0.0178018131493144,0.0212236026186231,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",48,0.057115821810209,0.0687131271419495,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",24,0.0302562814929495,0.0374518079388174,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",48,0.0681210657135945,0.0767013402940778,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",24,0.0196428381940289,0.0242328877422444,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",25,0.0321274483320916,0.042454481940763,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",49,0.0525580434627645,0.0590110287408215,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",73,0.121258308886612,0.15418261284701,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",49,0.0534304550474173,0.0602263860651241,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",50,0.0127458425247544,0.0167899699110233,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",26,0.0297161678667042,0.0362311541639806,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",50,0.0533504485606062,0.0632264708593639,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",74,0.0417189201886255,0.0492712403708449,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",50,0.0545659765650779,0.0650954838602927,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",51,0.0290667462015887,0.03557985833522,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",27,0.0196931709276141,0.0251106105639616,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",51,0.0722995750801845,0.0807550347863676,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",75,0.0566277212356772,0.067241860511554,-1510.08638146783,NA
