"scenario","model","n","d","parameter","term","true_value","mean_estimate","bias","rmse","sd_estimate","mean_std_error","se_to_empirical_sd","coverage_95","q05","q95","n_successful_fits","n_se","mean_logLik","mean_df"
"n500_d4","gamlss2",500,4,"tau","t",0.11,0.134206557060661,0.0242065570606606,0.137555854352695,0.136091382184982,0.139752976392026,1.02690540832384,0.92,-0.0990306173433174,0.365688630280404,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"tau","intercept",0.5,0.505960384772492,0.00596038477249238,0.139432224194812,0.140006561741162,0.101332472238628,0.723769450363099,0.86,0.270200831033111,0.705568835881727,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"theta","t",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"zeta","x1",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"zeta","t",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"mu","x2",-0.1,-0.1001420594033,-0.000142059403299533,0.0226589917423412,0.0227726959917518,0.014953355756992,0.656635286503105,0.8,-0.133434969616874,-0.0650633800957145,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"mu","x1",0.12,0.121864885628509,0.00186488562850888,0.0111431031701784,0.0110412884373788,0.00733874262213646,0.664663609121211,0.83,0.104844166682853,0.142048266271345,100,98,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"nu","x2",-0.08,-0.0676002228494585,0.0123997771505415,0.167584634899403,0.167967214757274,0.108630667029311,0.646737324223008,0.82,-0.342086495385667,0.173180160680611,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"nu","x1",0.1,0.0943500088794828,-0.0056499911205172,0.0862164624450656,0.0864645428402021,0.0559162504151459,0.646695727270386,0.85,-0.0514879958689533,0.210292999311089,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"sigma","x2",0.12,0.109583317517053,-0.010416682482947,0.0585254310264281,0.0578810937440607,0.0341355631588563,0.589753250168307,0.7,0.00706568097310684,0.208358095590074,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"sigma","x1",0.18,0.176017998072116,-0.00398200192788415,0.0310696147785,0.030968615966483,0.0174217411120512,0.56256117906291,0.7,0.127627480533061,0.226671058382791,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"tau","x2",0.1,0.157602914023167,0.057602914023167,0.162044795962587,0.152223985004674,0.110154876392571,0.723636793434286,0.82,-0.0979446662853635,0.414489523448861,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"tau","x1",-0.08,-0.0601531713479698,0.0198468286520302,0.0891374704991014,0.0873376822849345,0.0568406375953389,0.650814586651148,0.82,-0.180480966864475,0.0924113550202381,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"theta","x2",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"theta","x1",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"zeta","x2",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
