"scenario","n","d","rep","model","success","logLik","df","converged","hit_outer_limit","hit_max_stall","hit_raw_loglik_deterioration","stop_reason","grad_inf","step_l2","best_raw_loglik","best_raw_loglik_iteration","raw_loglik_drop_from_best","raw_loglik_drop_tol","outer_iterations","outer_log_lik_change","outer_stop_crit","elapsed_sec","error"
"n500_d4",500,4,42,"gamlss2",TRUE,-2229.54421575902,28.7748316695714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58166599273682,NA
"n500_d4",500,4,43,"gamlss.longitudinal",TRUE,-1453.95343746363,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.000943845670917653,0.002,108.783747911453,NA
"n500_d4",500,4,43,"gamlss2",TRUE,-2310.44392332004,30.4835441247836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.34757208824158,NA
"n500_d4",500,4,44,"gamlss.longitudinal",TRUE,-1481.55632261581,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,6,0.000589809717666867,0.002,106.189346075058,NA
"n500_d4",500,4,44,"gamlss2",TRUE,-2208.91476803581,27.7091955572991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97596287727356,NA
"n500_d4",500,4,45,"gamlss.longitudinal",TRUE,-1599.37704372891,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00185209771507289,0.002,86.0853190422058,NA
"n500_d4",500,4,45,"gamlss2",TRUE,-2309.2870612728,29.4796214665458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04035997390747,NA
"n500_d4",500,4,46,"gamlss.longitudinal",TRUE,-1560.73193664063,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,2,0.00120821631753643,0.002,83.9775309562683,NA
"n500_d4",500,4,46,"gamlss2",TRUE,-2385.78449565883,30.0885365773448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7218279838562,NA
"n500_d4",500,4,47,"gamlss.longitudinal",TRUE,-1588.78105001462,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00136574121870581,0.002,86.8950440883636,NA
"n500_d4",500,4,47,"gamlss2",TRUE,-2415.98219382728,31.5708064211596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28196597099304,NA
"n500_d4",500,4,48,"gamlss.longitudinal",TRUE,-1471.26151527454,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000481130578464217,0.002,83.8424639701843,NA
"n500_d4",500,4,48,"gamlss2",TRUE,-2215.35095677732,28.8367697409781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09853315353394,NA
"n500_d4",500,4,49,"gamlss.longitudinal",TRUE,-1515.74774076713,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00121955178656208,0.002,96.758269071579,NA
"n500_d4",500,4,49,"gamlss2",TRUE,-2322.72567744068,30.0789186245545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88431096076965,NA
"n500_d4",500,4,50,"gamlss.longitudinal",TRUE,-1542.65896813993,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00124186603306953,0.002,87.8649661540985,NA
"n500_d4",500,4,50,"gamlss2",TRUE,-2330.77008768649,31.0917448134587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18647718429565,NA
"n500_d4",500,4,51,"gamlss.longitudinal",TRUE,-1537.15349159615,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00062872004377823,0.002,105.686820030212,NA
"n500_d4",500,4,51,"gamlss2",TRUE,-2332.54638003324,30.8846099951846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03344297409058,NA
"n500_d4",500,4,52,"gamlss.longitudinal",TRUE,-1482.15466995297,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00125365623034668,0.002,105.770486831665,NA
"n500_d4",500,4,52,"gamlss2",TRUE,-2238.05534634448,28.6235196322985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55557489395142,NA
"n500_d4",500,4,53,"gamlss.longitudinal",TRUE,-1531.75911994487,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000471606215342035,0.002,125.076649904251,NA
"n500_d4",500,4,53,"gamlss2",TRUE,-2259.15944722643,26.1476053653001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60269689559937,NA
"n500_d4",500,4,54,"gamlss.longitudinal",TRUE,-1436.91541619233,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000655120140891086,0.002,83.8166649341583,NA
"n500_d4",500,4,54,"gamlss2",TRUE,-2192.72264983763,28.5344130073162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18898105621338,NA
"n500_d4",500,4,55,"gamlss.longitudinal",TRUE,-1360.80890266685,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00159654030721867,0.002,92.6345961093903,NA
"n500_d4",500,4,55,"gamlss2",TRUE,-2129.92036029392,32.0036069727915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56654596328735,NA
"n500_d4",500,4,56,"gamlss.longitudinal",TRUE,-1565.10712316565,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000619662067720128,0.002,95.8325660228729,NA
"n500_d4",500,4,56,"gamlss2",TRUE,-2337.74366270083,31.59888706203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21722197532654,NA
"n500_d4",500,4,57,"gamlss.longitudinal",TRUE,-1424.90446367936,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00122725233813981,0.002,93.2809228897095,NA
"n500_d4",500,4,57,"gamlss2",TRUE,-2240.26022952613,29.2626868719506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82266998291016,NA
"n500_d4",500,4,58,"gamlss.longitudinal",TRUE,-1520.30843858269,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00118505694626947,0.002,93.4212160110474,NA
"n500_d4",500,4,58,"gamlss2",TRUE,-2273.28173209008,28.0573286191117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60426497459412,NA
"n500_d4",500,4,59,"gamlss.longitudinal",TRUE,-1603.86988467911,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000774443373757094,0.002,90.7655889987946,NA
"n500_d4",500,4,59,"gamlss2",TRUE,-2417.40473257482,30.6688472173455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8113009929657,NA
"n500_d4",500,4,60,"gamlss.longitudinal",TRUE,-1402.07212144282,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,6,0.00198405446963079,0.002,121.248601913452,NA
"n500_d4",500,4,60,"gamlss2",TRUE,-2170.51698530468,31.7748429715796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7910940647125,NA
"n500_d4",500,4,61,"gamlss.longitudinal",TRUE,-1455.10998209336,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000785669151355251,0.002,83.3758141994476,NA
"n500_d4",500,4,61,"gamlss2",TRUE,-2221.68101527504,31.804123145336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7453761100769,NA
"n500_d4",500,4,62,"gamlss.longitudinal",TRUE,-1446.35017674465,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00110300315373024,0.002,101.653337955475,NA
"n500_d4",500,4,62,"gamlss2",TRUE,-2277.40982041763,23.4393973490637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92792510986328,NA
"n500_d4",500,4,63,"gamlss.longitudinal",TRUE,-1413.64702615162,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000835541018204822,0.002,91.2899038791656,NA
"n500_d4",500,4,63,"gamlss2",TRUE,-2178.80838470065,32.5695008121554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46836090087891,NA
"n500_d4",500,4,64,"gamlss.longitudinal",TRUE,-1493.48985414709,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000462647107269731,0.002,96.8147871494293,NA
"n500_d4",500,4,64,"gamlss2",TRUE,-2175.77658540708,30.1687004732151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40923810005188,NA
"n500_d4",500,4,65,"gamlss.longitudinal",TRUE,-1388.17016478417,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00127147519197024,0.002,85.1783628463745,NA
"n500_d4",500,4,65,"gamlss2",TRUE,-2159.17806489136,28.9256774178796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66563487052917,NA
