"model","parameter","term","estimate","std_error","true_value","intercept_includes_fitted_smooth_mean","scenario","n","d","rep"
"gamlss.longitudinal","tau","intercept",0.602857050908745,0.0886947885194448,0.5,TRUE,"n500_d4",500,4,3
"gamlss.longitudinal","tau","x1",-0.0680582271777277,0.0501085992105349,-0.08,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","tau","x2",0.0213067129633197,0.104304517879884,0.1,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","tau","t",0.0274260018649103,0.0989468533667832,0.11,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","theta","intercept",1.11051261013158,0.0621781316396484,1.04717699910042,TRUE,"n500_d4",500,4,3
"gamlss.longitudinal","theta","x1",0.23953117438626,0.033662870950002,0.25,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","theta","x2",-0.256017736037088,0.0701326143796476,-0.1,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","theta","t",0.368038408526165,0.1059217226012,0.2,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","zeta","intercept",0.586942725006569,0.68690012471692,0.5,TRUE,"n500_d4",500,4,3
"gamlss.longitudinal","zeta","x1",0.0574899264939326,0.374307576851176,0.12,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","zeta","x2",-1.88754416050227,1.03315872831641,-0.1,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","zeta","t",2.35819819656122,1.74088047893148,0.1,FALSE,"n500_d4",500,4,3
"gamlss2","mu","intercept",0.788252841137377,0.0149882243444195,0.807748074214535,FALSE,"n500_d4",500,4,3
"gamlss2","mu","x1",0.145833747575255,0.00786854150967,0.12,FALSE,"n500_d4",500,4,3
"gamlss2","mu","x2",-0.0652344979836385,0.0160449996645428,-0.1,FALSE,"n500_d4",500,4,3
"gamlss2","mu","t",0.185084284504421,0.0211326144691216,0.18,FALSE,"n500_d4",500,4,3
"gamlss2","sigma","intercept",-1.12320884139449,0.0354059545738119,-1.21545673206851,FALSE,"n500_d4",500,4,3
"gamlss2","sigma","x1",0.137234743697902,0.0177192085013997,0.18,FALSE,"n500_d4",500,4,3
"gamlss2","sigma","x2",0.0345053284124539,0.0345984150183148,0.12,FALSE,"n500_d4",500,4,3
