"generating_copula","tau_label","target_tau","n_subject","rep","n_candidates_expected","n_candidate_rows","n_candidates_attempted","n_candidates_usable","n_candidates_failed","all_candidates_present_once","selection_eligible","missing_candidates","duplicate_candidates","failed_candidates","failure_reasons","best_aic_copula","best_bic_copula","best_loglik_copula","aic_gap_to_runner_up","close_aic"
"C","high",0.55,150,62,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.91145284852,FALSE
"C","high",0.55,150,63,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",150.2111855412,FALSE
"C","high",0.55,150,64,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",112.15533115153,FALSE
"C","high",0.55,150,65,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",158.38895702031,FALSE
"C","high",0.55,150,66,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",186.91599163532,FALSE
"C","high",0.55,150,67,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",166.035508328414,FALSE
"C","high",0.55,150,68,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",51.03692612993,FALSE
"C","high",0.55,150,69,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",94.7618993851499,FALSE
"C","high",0.55,150,70,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",161.439882180301,FALSE
"C","high",0.55,150,71,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",140.92228331309,FALSE
"C","high",0.55,150,72,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",147.88293697112,FALSE
"C","high",0.55,150,73,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",141.26042108,FALSE
"C","high",0.55,150,74,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",141.74645764005,FALSE
"C","high",0.55,150,75,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",83.9179766913601,FALSE
"C","high",0.55,150,76,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.09005146776,FALSE
"C","high",0.55,150,77,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",128.24978509522,FALSE
"C","high",0.55,150,78,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",128.03810176495,FALSE
"C","high",0.55,150,79,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",178.07739579824,FALSE
"C","high",0.55,150,80,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",102.81486222464,FALSE
"C","high",0.55,150,81,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",144.86040219887,FALSE
"C","high",0.55,150,82,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",126.62928520297,FALSE
"C","high",0.55,150,83,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.09643235873,FALSE
"C","high",0.55,150,84,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",140.11129170238,FALSE
"C","high",0.55,150,85,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",108.06678157658,FALSE
"C","high",0.55,150,86,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",121.70342728513,FALSE
