"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","parameter","term","n_metric","n_se","estimand_status","true_value_mean","mean_estimate","bias","bias_mcse","bias_ci_low","bias_ci_high","rmse","rmse_mcse","rmse_ci_low","rmse_ci_high","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mean_se","mean_se_mcse","mean_se_ci_low","mean_se_ci_high","se_to_empirical_sd","coverage","coverage_mcse","coverage_ci_low","coverage_ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"sigma","intercept",100,100,"estimated",-1.21239856992169,-1.22378298158885,-0.01138441166716,0.00518898549064227,-0.0216804846392284,-0.00108833869509165,0.0528699943332215,0.00296083666303724,0.046626387044489,0.0584504288501569,0.0534187377977894,0.00379630438843374,0.0469020174592936,0.0620552258687634,0.0338365062216343,0.000217553814021334,0.0334048322559709,0.0342681801872977,0.633420174578415,0.73,0.0443959457608462,0.63567883232055,0.807304158504236
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"sigma","t",100,100,"estimated",0.15,0.152744510789361,0.00274451078936136,0.00415641539762179,-0.0055027191004346,0.0109917406791573,0.0414467784788406,0.00310577709649272,0.0347419192561791,0.0472087909074708,0.0415641539762179,0.00295383580081485,0.0364936117145398,0.0482840491814278,0.0439352178770899,0.000183922807525026,0.0435702751246154,0.0443001606295644,1.05704588386976,0.94,0.0237486841740758,0.875231845541041,0.972213876036812
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"sigma","x1",100,100,"estimated",0.18,0.176017998072116,-0.00398200192788412,0.00309686159664831,-0.0101268472046707,0.00216284334890243,0.0310696147785,0.00207626228629143,0.0266331104404367,0.0349473797764049,0.0309686159664831,0.00220084370286533,0.0271906568112557,0.0359754748589853,0.0174217411120512,0.000134875486240629,0.0171541188858991,0.0176893633382033,0.56256117906291,0.7,0.0458257569495584,0.604151453666533,0.781051147050672
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"sigma","x2",100,100,"estimated",0.12,0.109583317517053,-0.010416682482947,0.00578810937440607,-0.0219015472212798,0.0010681822553858,0.0585254310264281,0.00374665156732294,0.0505475036195738,0.0655393166846249,0.0578810937440607,0.00411343021656,0.0508199965267485,0.0672390343518636,0.0341355631588563,0.000155890605512611,0.0338262423768051,0.0344448839409075,0.589753250168307,0.7,0.0458257569495584,0.604151453666533,0.781051147050672
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"tau","intercept",100,100,"estimated",0.5,0.505960384772492,0.00596038477249237,0.0140006561741162,-0.0218199545415221,0.0337407240865068,0.139432224194812,0.0103191038513652,0.117181485439208,0.158591266336091,0.140006561741162,0.00994983308590059,0.1229267196102,0.162642158353587,0.101332472238628,0.000686668578554526,0.0999699728049386,0.102694971672318,0.723769450363099,0.86,0.0346987031457949,0.778628117890362,0.914736563400609
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"tau","t",100,100,"estimated",0.11,0.134206557060661,0.0242065570606606,0.0136091382184982,-0.00279692568896614,0.0512100398102874,0.137555854352695,0.0103446243387672,0.11521577981856,0.156743581094093,0.136091382184982,0.00967159339055446,0.119489165158889,0.158093991143137,0.139752976392026,0.000758026585771005,0.138248887190786,0.141257065593266,1.02690540832384,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"tau","x1",100,100,"estimated",-0.08,-0.0601531713479699,0.0198468286520302,0.00873376822849345,0.00251713768182657,0.0371765196222337,0.0891374704991014,0.00684476168612065,0.0743252913361826,0.101817131965833,0.0873376822849345,0.00620681880932892,0.0766830829078809,0.101458024365192,0.0568406375953389,0.000503824966784872,0.0558409395556119,0.0578403356350659,0.650814586651148,0.82,0.0384187454245971,0.733326416136993,0.882997745010536
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"tau","x2",100,100,"estimated",0.1,0.157602914023167,0.057602914023167,0.0152223985004674,0.0273983728747359,0.0878074551715981,0.162044795962587,0.0104971539115341,0.139671663065186,0.181683401370952,0.152223985004674,0.0108180875498341,0.13365370086876,0.176834836642269,0.110154876392571,0.000591171902089964,0.108981863083143,0.111327889702,0.723636793434285,0.82,0.0384187454245971,0.733326416136993,0.882997745010536
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"theta","intercept",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"theta","t",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
