"schema_version","evidence_status","study_id","scenario_id","margin_family","copula_family","copula_code","runner_contract_version","phase1_contract_version","runner_settings_signature","n_subjects","n_time","target_replicates","replicate","data_seed","training_covariate_seed","training_response_seed","test_response_seed","diagnostic_seed","predictive_seed","seed_source","method","attempted","success","converged","elapsed_sec","stop_reason","error","retry_index","convergence_status","failure_reason","retained","retention_reason","attempt_id","has_fixed_output","has_smooth_output","has_predictive_output","has_diagnostic_output"
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,72,110072,,110072,610072,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,91.4311559200287,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep072::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,73,110073,,110073,610073,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,108.949630975723,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep073::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,74,110074,,110074,610074,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,113.76678609848,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep074::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,75,110075,,110075,610075,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,87.6866579055786,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep075::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,76,110076,,110076,610076,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,96.2550859451294,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep076::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,77,110077,,110077,610077,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,97.9402840137482,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep077::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,78,110078,,110078,610078,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,86.1843991279602,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep078::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,79,110079,,110079,610079,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,94.7555360794067,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep079::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,80,110080,,110080,610080,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,77.9418280124664,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep080::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,81,110081,,110081,610081,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,97.5233891010284,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep081::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,82,110082,,110082,610082,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,91.6314311027527,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep082::try01",TRUE,TRUE,TRUE,TRUE
