"model","parameter","term","rep","estimate","std_error","true_value"
"ours_rs_joint","sigma","time_scaled",10,0.270154898718461,0.137452793772827,0.08
"ours_rs_joint","theta","intercept",10,0.675994026081253,0.0451186341747573,0.7
"ours_rs_joint","theta","time_scaled",10,0.374057097006939,0.099810193584938,0.2
"gamlss","mu","intercept",11,1.75353152565458,0.0583345029563939,1.1
"gamlss","mu","x1",11,0.0966078204188074,0.021280293043029,0.18
"gamlss","mu","x2",11,-0.0570654827222686,0.0434680251667827,-0.12
"gamlss","mu","time_scaled",11,0.119435497693265,0.0581007692232767,0.1
"gamlss","sigma","intercept",11,-0.4904100748976,0.116990134472865,-0.45
"gamlss","sigma","x1",11,0.152598035190869,0.0527768327819688,0.1
"gamlss","sigma","time_scaled",11,0.108903842104051,0.140811610238897,0.08
"ours_rs_joint","mu","intercept",11,1.07056766673789,0.0526399805723519,1.1
"ours_rs_joint","mu","x1",11,0.0889505185418632,0.0320321835819186,0.18
"ours_rs_joint","mu","x2",11,-0.00665964582611641,0.0631266883658679,-0.12
"ours_rs_joint","mu","time_scaled",11,0.119964802002416,0.0523516835344366,0.1
"ours_rs_joint","sigma","intercept",11,-0.555453020129103,0.0979731292312505,-0.45
"ours_rs_joint","sigma","x1",11,0.14864956341841,0.0568648475835969,0.1
"ours_rs_joint","sigma","time_scaled",11,0.105218776802934,0.137233520031701,0.08
"ours_rs_joint","theta","intercept",11,0.718990939165319,0.0434729937584694,0.7
"ours_rs_joint","theta","time_scaled",11,0.271345306856713,0.0949543325713224,0.2
"gamlss","mu","intercept",12,1.59906871363269,0.0538528333328193,1.1
"gamlss","mu","x1",12,0.188697529605869,0.0223182514964124,0.18
"gamlss","mu","x2",12,-0.143584695344073,0.0410817890085496,-0.12
"gamlss","mu","time_scaled",12,0.0732286213504961,0.0553580268508784,0.1
"gamlss","sigma","intercept",12,-0.664898327482825,0.129041124073539,-0.45
"gamlss","sigma","x1",12,0.212118303626178,0.0596638826163871,0.1
"gamlss","sigma","time_scaled",12,0.257145353271028,0.155697096538949,0.08
"ours_rs_joint","mu","intercept",12,1.12295056505836,0.0485151083318263,1.1
"ours_rs_joint","mu","x1",12,0.180322997376383,0.0331619314993688,0.18
"ours_rs_joint","mu","x2",12,-0.131717597962028,0.0595550682981567,-0.12
"ours_rs_joint","mu","time_scaled",12,0.0804530575274822,0.0513166354004909,0.1
"ours_rs_joint","sigma","intercept",12,-0.776731272826511,0.108892644747703,-0.45
"ours_rs_joint","sigma","x1",12,0.180136321516861,0.060883439660483,0.1
"ours_rs_joint","sigma","time_scaled",12,0.276396666255034,0.154252027286335,0.08
"ours_rs_joint","theta","intercept",12,0.643573591342802,0.0439809519948614,0.7
"ours_rs_joint","theta","time_scaled",12,0.312925685734576,0.0970965340242382,0.2
"gamlss","mu","intercept",13,1.64893925833608,0.0589364161180808,1.1
"gamlss","mu","x1",13,0.133287882284269,0.0233794623946927,0.18
"gamlss","mu","x2",13,-0.064463205563097,0.045665712277452,-0.12
"gamlss","mu","time_scaled",13,0.0555258119434144,0.0607245426475394,0.1
"gamlss","sigma","intercept",13,-0.426048373076675,0.114915111395613,-0.45
"gamlss","sigma","x1",13,0.167163393787082,0.0531955895033046,0.1
"gamlss","sigma","time_scaled",13,-0.0406836153454579,0.135210254013182,0.08
"ours_rs_joint","mu","intercept",13,1.09814717494567,0.0552752118183549,1.1
"ours_rs_joint","mu","x1",13,0.149248086394774,0.0352074426422192,0.18
"ours_rs_joint","mu","x2",13,-0.0411184538068624,0.0663693740089676,-0.12
"ours_rs_joint","mu","time_scaled",13,0.059014724838239,0.0536232778015226,0.1
"ours_rs_joint","sigma","intercept",13,-0.357424849833044,0.0931815789397831,-0.45
"ours_rs_joint","sigma","x1",13,0.203623117285037,0.0573486831672554,0.1
"ours_rs_joint","sigma","time_scaled",13,-0.0211534742556305,0.130886015629191,0.08
"ours_rs_joint","theta","intercept",13,0.767276184312406,0.0442544507377099,0.7
"ours_rs_joint","theta","time_scaled",13,0.256431579335461,0.0956595931383089,0.2
"gamlss","mu","intercept",14,1.54223999344389,0.0588184632070761,1.1
"gamlss","mu","x1",14,0.192696674630066,0.0225276009071441,0.18
"gamlss","mu","x2",14,-0.0865234365093468,0.0444354619622715,-0.12
"gamlss","mu","time_scaled",14,0.158258736102118,0.0594587775585654,0.1
"gamlss","sigma","intercept",14,-0.506265640090182,0.125256068233769,-0.45
"gamlss","sigma","x1",14,0.0740946732268626,0.0536005084369406,0.1
"gamlss","sigma","time_scaled",14,-0.175299873541834,0.142071044719723,0.08
"ours_rs_joint","mu","intercept",14,1.04328952199729,0.0552692107000131,1.1
"ours_rs_joint","mu","x1",14,0.18487226205509,0.0357728236120338,0.18
"ours_rs_joint","mu","x2",14,-0.131270342568421,0.0665790227793301,-0.12
"ours_rs_joint","mu","time_scaled",14,0.168293332678537,0.0516888679828057,0.1
"ours_rs_joint","sigma","intercept",14,-0.33349807889392,0.0970692602587072,-0.45
"ours_rs_joint","sigma","x1",14,0.085550357383122,0.0584668222279713,0.1
"ours_rs_joint","sigma","time_scaled",14,-0.121338675654533,0.139698402283504,0.08
"ours_rs_joint","theta","intercept",14,0.782261505462587,0.0454891787740571,0.7
"ours_rs_joint","theta","time_scaled",14,0.320740136379604,0.098816159720842,0.2
"gamlss","mu","intercept",15,1.58025486997902,0.0563350764313526,1.1
"gamlss","mu","x1",15,0.237491305534232,0.0245284111141227,0.18
"gamlss","mu","x2",15,-0.0504157148090122,0.0444613959434276,-0.12
"gamlss","mu","time_scaled",15,0.0985741771232929,0.0595102502591397,0.1
"gamlss","sigma","intercept",15,-0.630491159114507,0.118794933233631,-0.45
"gamlss","sigma","x1",15,0.197771534846541,0.0568614164065557,0.1
"gamlss","sigma","time_scaled",15,0.252076177527355,0.140652683277155,0.08
"ours_rs_joint","mu","intercept",15,1.08015333556872,0.0511355842084097,1.1
"ours_rs_joint","mu","x1",15,0.217576481753432,0.0362389245631129,0.18
"ours_rs_joint","mu","x2",15,-0.0845404820749207,0.0653982340202395,-0.12
"ours_rs_joint","mu","time_scaled",15,0.102955890739666,0.0533824840026363,0.1
"ours_rs_joint","sigma","intercept",15,-0.552547662363466,0.100040577122973,-0.45
"ours_rs_joint","sigma","x1",15,0.170710114687823,0.0592111804271374,0.1
"ours_rs_joint","sigma","time_scaled",15,0.29419518423501,0.138780413682341,0.08
"ours_rs_joint","theta","intercept",15,0.752812255401224,0.0440478547793441,0.7
"ours_rs_joint","theta","time_scaled",15,0.277595324373881,0.0967523992402946,0.2
"gamlss","mu","intercept",16,1.66333784762473,0.0591935923651092,1.1
"gamlss","mu","x1",16,0.162210544881935,0.0225166567385126,0.18
"gamlss","mu","x2",16,-0.0363823820537551,0.0438739282170683,-0.12
"gamlss","mu","time_scaled",16,0.0879031555251705,0.0583635111083616,0.1
"gamlss","sigma","intercept",16,-0.0257183607536428,0.118657315321788,-0.45
"gamlss","sigma","x1",16,0.0158109484988909,0.0561911640573007,0.1
"gamlss","sigma","time_scaled",16,-0.0635811803292201,0.143493480028359,0.08
"ours_rs_joint","mu","intercept",16,1.09797638307971,0.0529889629029616,1.1
"ours_rs_joint","mu","x1",16,0.177711590605302,0.0337981202638474,0.18
"ours_rs_joint","mu","x2",16,-0.0647306269382401,0.0639566685935563,-0.12
"ours_rs_joint","mu","time_scaled",16,0.0717105957304816,0.0520505722540048,0.1
"ours_rs_joint","sigma","intercept",16,-0.49987932718038,0.0966513312737533,-0.45
"ours_rs_joint","sigma","x1",16,0.066438346295684,0.0586211008185735,0.1
"ours_rs_joint","sigma","time_scaled",16,-0.0105298250359147,0.140275880114092,0.08
"ours_rs_joint","theta","intercept",16,0.704400680771378,0.0440593064591064,0.7
"ours_rs_joint","theta","time_scaled",16,0.397577542735235,0.0979201629648439,0.2
"gamlss","mu","intercept",17,1.56083531137313,0.0603569282389226,1.1
"gamlss","mu","x1",17,0.191585809904417,0.0223792870919406,0.18
"gamlss","mu","x2",17,-0.166779038043502,0.0465825103189268,-0.12
"gamlss","mu","time_scaled",17,0.219738859094936,0.0619987928455616,0.1
"gamlss","sigma","intercept",17,-0.318256598382542,0.11314599065881,-0.45
"gamlss","sigma","x1",17,0.0271911713306923,0.0481981093957518,0.1
"gamlss","sigma","time_scaled",17,0.0675272393256708,0.137519194434149,0.08
"ours_rs_joint","mu","intercept",17,1.10130711475029,0.0552398942583335,1.1
"ours_rs_joint","mu","x1",17,0.201431351458788,0.035257080830099,0.18
"ours_rs_joint","mu","x2",17,-0.190352012680104,0.0684567721990414,-0.12
"ours_rs_joint","mu","time_scaled",17,0.221672825310537,0.0542272390209576,0.1
"ours_rs_joint","sigma","intercept",17,-0.328307718453657,0.0951320313995732,-0.45
"ours_rs_joint","sigma","x1",17,0.110962598157664,0.0536614379657137,0.1
"ours_rs_joint","sigma","time_scaled",17,0.089027277878816,0.132003391724031,0.08
"ours_rs_joint","theta","intercept",17,0.728045449631339,0.0450276596219328,0.7
"ours_rs_joint","theta","time_scaled",17,0.488192181885541,0.098557003726908,0.2
"gamlss","mu","intercept",18,1.56676149186797,0.0606308030754729,1.1
"gamlss","mu","x1",18,0.135908316923436,0.0219791836141941,0.18
"gamlss","mu","x2",18,-0.126771908726679,0.0454123918221477,-0.12
"gamlss","mu","time_scaled",18,0.0182109369647194,0.0601875077313162,0.1
"gamlss","sigma","intercept",18,-0.337589956009162,0.117937558542949,-0.45
"gamlss","sigma","x1",18,0.22891853562838,0.0527102547551861,0.1
"gamlss","sigma","time_scaled",18,0.166464553320593,0.142208512651888,0.08
"ours_rs_joint","mu","intercept",18,1.10054633277701,0.0534836093969781,1.1
"ours_rs_joint","mu","x1",18,0.124197654465981,0.0330719967921227,0.18
"ours_rs_joint","mu","x2",18,-0.102658182239734,0.0657258529676651,-0.12
"ours_rs_joint","mu","time_scaled",18,0.0277626774324217,0.0538732006831967,0.1
"ours_rs_joint","sigma","intercept",18,-0.502314877645507,0.0994055105223949,-0.45
"ours_rs_joint","sigma","x1",18,0.175655087605127,0.0562272014655179,0.1
"ours_rs_joint","sigma","time_scaled",18,0.179532967842312,0.139328252958273,0.08
"ours_rs_joint","theta","intercept",18,0.773493382697781,0.0441634522880366,0.7
"ours_rs_joint","theta","time_scaled",18,0.173261487505555,0.0969546877624209,0.2
"gamlss","mu","intercept",19,1.6858143512408,0.0587631343129333,1.1
"gamlss","mu","x1",19,0.144181413229115,0.0210485858720572,0.18
"gamlss","mu","x2",19,-0.103932478222473,0.0450580165185118,-0.12
"gamlss","mu","time_scaled",19,0.0296466658543502,0.0600343682715862,0.1
"gamlss","sigma","intercept",19,-0.789093763934457,0.117184369741685,-0.45
"gamlss","sigma","x1",19,0.178359664051977,0.0507850775186781,0.1
"gamlss","sigma","time_scaled",19,0.231832963584701,0.137469911351707,0.08
"ours_rs_joint","mu","intercept",19,1.11003411224266,0.0530587726524872,1.1
"ours_rs_joint","mu","x1",19,0.152261220717531,0.0323278157040573,0.18
"ours_rs_joint","mu","x2",19,-0.105393413345151,0.0652053895985177,-0.12
"ours_rs_joint","mu","time_scaled",19,0.0331848284720262,0.053434095549266,0.1
"ours_rs_joint","sigma","intercept",19,-0.5396883026224,0.0967056331798628,-0.45
"ours_rs_joint","sigma","x1",19,0.203465574812247,0.0568908364265345,0.1
"ours_rs_joint","sigma","time_scaled",19,0.218416275938523,0.133803594586284,0.08
"ours_rs_joint","theta","intercept",19,0.781082799790597,0.0440597346691011,0.7
"ours_rs_joint","theta","time_scaled",19,0.235824488318398,0.0964862583198811,0.2
"gamlss","mu","intercept",20,1.63034902365752,0.0584496806420398,1.1
"gamlss","mu","x1",20,0.163417517540261,0.0215910274578669,0.18
"gamlss","mu","x2",20,0.00864584421986877,0.043867503416623,-0.12
"gamlss","mu","time_scaled",20,0.0806481889625179,0.058365914693435,0.1
"gamlss","sigma","intercept",20,-0.450076556442182,0.120651092968388,-0.45
"gamlss","sigma","x1",20,-0.0326224009096267,0.052504106181614,0.1
"gamlss","sigma","time_scaled",20,0.0616013823509861,0.140801271784457,0.08
"ours_rs_joint","mu","intercept",20,1.02481050098497,0.052445460928412,1.1
"ours_rs_joint","mu","x1",20,0.167722729928673,0.0331915199027925,0.18
"ours_rs_joint","mu","x2",20,0.00758112441194037,0.0643138368536521,-0.12
"ours_rs_joint","mu","time_scaled",20,0.0818939614703216,0.0526147900855114,0.1
"ours_rs_joint","sigma","intercept",20,-0.438561984542814,0.0980494264494724,-0.45
"ours_rs_joint","sigma","x1",20,-0.0759213077247202,0.0556377793038511,0.1
"ours_rs_joint","sigma","time_scaled",20,0.0824307009742846,0.135746879705793,0.08
"ours_rs_joint","theta","intercept",20,0.736127809329433,0.0451122368698601,0.7
"ours_rs_joint","theta","time_scaled",20,0.338407102591312,0.0984212707763895,0.2
"gamlss","mu","intercept",21,1.6194395373981,0.0576227690353141,1.1
"gamlss","mu","x1",21,0.20333941354893,0.0215268040611058,0.18
"gamlss","mu","x2",21,-0.166010816338432,0.0440371947646851,-0.12
"gamlss","mu","time_scaled",21,0.151775014052322,0.0582891195604785,0.1
"gamlss","sigma","intercept",21,-0.483194925013904,0.119272507276351,-0.45
"gamlss","sigma","x1",21,0.125262401022867,0.0533897924450448,0.1
"gamlss","sigma","time_scaled",21,0.0679891539923551,0.142716668785171,0.08
"ours_rs_joint","mu","intercept",21,1.08422688458128,0.0532999321280127,1.1
"ours_rs_joint","mu","x1",21,0.210081435803467,0.0328585547339151,0.18
"ours_rs_joint","mu","x2",21,-0.158083219051359,0.0643563298855225,-0.12
"ours_rs_joint","mu","time_scaled",21,0.151074444664874,0.0530657129322459,0.1
"ours_rs_joint","sigma","intercept",21,-0.512266788848804,0.0994363025456848,-0.45
"ours_rs_joint","sigma","x1",21,0.14135504759118,0.0569130579468003,0.1
"ours_rs_joint","sigma","time_scaled",21,0.0669843754491731,0.138681828812742,0.08
"ours_rs_joint","theta","intercept",21,0.688590183248635,0.044706535348732,0.7
"ours_rs_joint","theta","time_scaled",21,0.343482272582975,0.0980112045393565,0.2
"gamlss","mu","intercept",22,1.60588989435402,0.0605781679755919,1.1
"gamlss","mu","x1",22,0.20194611513833,0.0227367728492835,0.18
"gamlss","mu","x2",22,-0.145755891399376,0.045745820928118,-0.12
"gamlss","mu","time_scaled",22,0.167760766744755,0.0615907049277176,0.1
"gamlss","sigma","intercept",22,-0.192453099391268,0.115132951285173,-0.45
"gamlss","sigma","x1",22,0.00710217404131094,0.0514877083284092,0.1
"gamlss","sigma","time_scaled",22,0.0610696776910229,0.136813782463079,0.08
"ours_rs_joint","mu","intercept",22,1.1039593206673,0.0558457432239169,1.1
"ours_rs_joint","mu","x1",22,0.209603019070136,0.0346099770906762,0.18
"ours_rs_joint","mu","x2",22,-0.176889778113503,0.0665171465459768,-0.12
"ours_rs_joint","mu","time_scaled",22,0.146863192112157,0.0544671815337831,0.1
"ours_rs_joint","sigma","intercept",22,-0.396110906889497,0.097912836864637,-0.45
"ours_rs_joint","sigma","x1",22,0.0203765534426827,0.0550346169024864,0.1
"ours_rs_joint","sigma","time_scaled",22,0.0727365694378532,0.13636617556409,0.08
"ours_rs_joint","theta","intercept",22,0.781827851761121,0.0449021369536386,0.7
"ours_rs_joint","theta","time_scaled",22,0.195744459292568,0.0961269577863025,0.2
"gamlss","mu","intercept",23,1.59662970981038,0.0577601115422099,1.1
"gamlss","mu","x1",23,0.204328567725185,0.0218996083999688,0.18
