"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse"
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",57,0.0293708152427149,0.0393593862135307
"n500_d4_nbi_signal2","gamlss",500,4,"mu",58,0.0586135710066473,0.0699064825527012
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",58,0.0452085390769723,0.0558881689684597
"n500_d4_nbi_signal2","gamlss",500,4,"mu",59,0.0482625494143195,0.0555568846042166
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",59,0.0239349086568863,0.033390875761768
"n500_d4_nbi_signal2","gamlss",500,4,"mu",60,0.0827853811282666,0.0947371742246618
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",60,0.0641251859358098,0.0747597280117948
"n500_d4_nbi_signal2","gamlss",500,4,"mu",61,0.068848145904141,0.0763433323652032
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",61,0.0641171643115731,0.0739660860479829
"n500_d4_nbi_signal2","gamlss",500,4,"mu",62,0.0791691673939471,0.100130107729436
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",62,0.0783205745130459,0.0930994213757328
"n500_d4_nbi_signal2","gamlss",500,4,"mu",63,0.0438756853227887,0.0523648082168221
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",63,0.0201321400731927,0.0285080516631284
"n500_d4_nbi_signal2","gamlss",500,4,"mu",64,0.0426728121966622,0.0524136303114772
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",64,0.0320099259066194,0.0404828453616913
"n500_d4_nbi_signal2","gamlss",500,4,"mu",65,0.0896490413408041,0.105919957591841
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",65,0.0781058972618367,0.0922352573060029
"n500_d4_nbi_signal2","gamlss",500,4,"mu",66,0.0962034222044483,0.116813946353209
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",66,0.0953601045329437,0.113972007053711
"n500_d4_nbi_signal2","gamlss",500,4,"mu",67,0.102083078061667,0.121667788804869
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",67,0.0985585472124604,0.121565880275393
"n500_d4_nbi_signal2","gamlss",500,4,"mu",68,0.0466636637040018,0.0540920361313084
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",68,0.038012851781846,0.0441528493183322
"n500_d4_nbi_signal2","gamlss",500,4,"mu",69,0.06791221133995,0.0808680644084072
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",69,0.0646393001209262,0.0747301435345454
"n500_d4_nbi_signal2","gamlss",500,4,"mu",70,0.0521205888952968,0.073812827452157
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",70,0.0522442164579543,0.0711520857709791
"n500_d4_nbi_signal2","gamlss",500,4,"mu",71,0.0737865564730608,0.11032137880906
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",71,0.0732030276212383,0.106593199642521
"n500_d4_nbi_signal2","gamlss",500,4,"mu",72,0.0510216569526437,0.0680939790101205
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",72,0.0472847784333285,0.0575221860050269
"n500_d4_nbi_signal2","gamlss",500,4,"mu",73,0.0610657799079671,0.0825207067749971
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",73,0.0603280055065799,0.080689666913191
"n500_d4_nbi_signal2","gamlss",500,4,"mu",74,0.0869975883227348,0.0932261668454946
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",74,0.0720822531010823,0.0813682349569617
"n500_d4_nbi_signal2","gamlss",500,4,"mu",75,0.0699659471642656,0.0840924709285914
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",75,0.0613721378471771,0.0752639005593133
"n500_d4_nbi_signal2","gamlss",500,4,"mu",76,0.104463729297253,0.130949930675703
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",76,0.100327207692885,0.124879332329318
"n500_d4_nbi_signal2","gamlss",500,4,"mu",77,0.0645049615643262,0.0837157043113456
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",77,0.0587062965461401,0.0797202580218772
"n500_d4_nbi_signal2","gamlss",500,4,"mu",78,0.0915649428469289,0.10812763904636
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",78,0.0632516646706755,0.0806018080923707
"n500_d4_nbi_signal2","gamlss",500,4,"mu",79,0.0417893981656826,0.0559869450403359
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",79,0.0315440921975551,0.043456102689833
"n500_d4_nbi_signal2","gamlss",500,4,"mu",80,0.0277117329142357,0.0338024331797964
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",80,0.015656575491119,0.0208162587922293
"n500_d4_nbi_signal2","gamlss",500,4,"mu",81,0.0631401150672943,0.076872803671577
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",81,0.0555839439374395,0.0667907900171565
"n500_d4_nbi_signal2","gamlss",500,4,"mu",82,0.0848628901174722,0.102096142755125
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",82,0.0749471188776934,0.0849489632477268
"n500_d4_nbi_signal2","gamlss",500,4,"mu",83,0.0693926757353875,0.0893467110088973
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",83,0.055843609639323,0.0741164237504003
"n500_d4_nbi_signal2","gamlss",500,4,"mu",84,0.0600260636413255,0.0751962367551486
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",84,0.0544524862816215,0.0632518070725635
"n500_d4_nbi_signal2","gamlss",500,4,"mu",85,0.0936306160712203,0.116472377087447
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",85,0.0908305763526554,0.106055285183017
"n500_d4_nbi_signal2","gamlss",500,4,"mu",86,0.0515686888848832,0.0595204369739875
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",86,0.0527762125421787,0.0591251098286456
"n500_d4_nbi_signal2","gamlss",500,4,"mu",87,0.0705985051584069,0.095295169210759
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",87,0.0613246607209575,0.0836291055327861
"n500_d4_nbi_signal2","gamlss",500,4,"mu",88,0.0483670808897806,0.0661798044280185
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",88,0.0457093650175581,0.0563422885503322
"n500_d4_nbi_signal2","gamlss",500,4,"mu",89,0.048242026660854,0.0659697699986191
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",89,0.0543385209842662,0.0666421107363522
"n500_d4_nbi_signal2","gamlss",500,4,"mu",90,0.0872715129300302,0.115076496300621
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",90,0.0917254693695414,0.116242342217866
"n500_d4_nbi_signal2","gamlss",500,4,"mu",91,0.0702468518217871,0.0814658991599079
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",91,0.0681912638684402,0.0794600889586794
"n500_d4_nbi_signal2","gamlss",500,4,"mu",92,0.0794384702594233,0.100419352969859
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",92,0.0687585871312664,0.0911846886813847
"n500_d4_nbi_signal2","gamlss",500,4,"mu",93,0.0638476759452887,0.088354167740079
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",93,0.0545660560603004,0.0780624380595177
"n500_d4_nbi_signal2","gamlss",500,4,"mu",94,0.027934222276348,0.0340925257966162
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",94,0.0332483678542159,0.0387176330986793
"n500_d4_nbi_signal2","gamlss",500,4,"mu",95,0.121232961381799,0.133886980952306
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",95,0.123676320455916,0.136556448066654
"n500_d4_nbi_signal2","gamlss",500,4,"mu",96,0.0821813705706105,0.116095057716959
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",96,0.0775055146136397,0.107788317855762
"n500_d4_nbi_signal2","gamlss",500,4,"mu",97,0.0550125459257555,0.0673307111338693
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",97,0.0431942723869535,0.048816314534697
"n500_d4_nbi_signal2","gamlss",500,4,"mu",98,0.0725570039311605,0.0884836797878919
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",98,0.070395747810155,0.0849894030885307
"n500_d4_nbi_signal2","gamlss",500,4,"mu",99,0.0740888674904467,0.0912601431697483
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",99,0.0690868896682855,0.0830648081599038
"n500_d4_nbi_signal2","gamlss",500,4,"mu",100,0.0659869043726188,0.0787315719200263
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",100,0.0584527323848437,0.0750343626652808
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",1,0.0910607579906574,0.107197008606255
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",1,0.0654764731173816,0.0752724976508539
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",2,0.0671492626961085,0.0946415521110199
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",2,0.0585831928832136,0.073736097946284
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",3,0.0867529062142936,0.113428869906927
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",3,0.0570273082286527,0.0845878004739963
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",4,0.187874683957438,0.241689372834993
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",4,0.190613634388488,0.220989084594207
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",5,0.133924284143889,0.169533289825378
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",5,0.086954578069208,0.126147919640374
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",6,0.171054007218822,0.216574309234298
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",6,0.0667925474486852,0.0790548237610686
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",7,0.113563714962357,0.127958331145241
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",7,0.0821396519828842,0.103745117860319
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",8,0.157129950349949,0.192503594291332
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",8,0.0971253141611092,0.117309050160425
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",9,0.108076823383713,0.117307339292901
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",9,0.0633129631857049,0.071515845753763
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",10,0.149340833128279,0.18400518077471
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",10,0.132242000048953,0.153469702746406
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",11,0.118791532394589,0.163300462446726
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",11,0.0970106423065163,0.131401577885715
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",12,0.0953631194499464,0.121323264768447
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",12,0.0874128094942833,0.110366204856541
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",13,0.141086673719897,0.160090563404027
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",13,0.0956014962500853,0.106590977839171
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",14,0.0900969763162842,0.117243906784506
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",14,0.0856752093963986,0.0993171843464303
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",15,0.153238568810765,0.18898330436516
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",15,0.135442760955782,0.168404197822407
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",16,0.183832982263036,0.249574114402888
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",16,0.127089633449498,0.166152872515176
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",17,0.110742661597207,0.135085746056391
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",17,0.0714104558322227,0.087266377727309
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",18,0.137749550155715,0.191605378427204
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",18,0.0575344850428525,0.0836681988748677
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",19,0.156273076825478,0.184897922811683
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",19,0.12582841525763,0.165597182126409
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",20,0.189396719010583,0.213653580323905
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",20,0.196895616819557,0.228349228017749
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",21,0.131121570967024,0.155449606767758
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",21,0.0947589285699799,0.111590460656541
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",22,0.202774616987237,0.24741461029747
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",22,0.183647559729706,0.23789101129481
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",23,0.225335576287661,0.250958483771091
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",23,0.239015470953793,0.274972722523633
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",24,0.189175045089443,0.225301511006476
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",24,0.11115361237489,0.124188201763877
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",25,0.0748847313742167,0.0941380016736824
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",25,0.0683910829821863,0.0856471036431598
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",26,0.0461422925210132,0.0556087005167156
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",26,0.0518021051250944,0.0621488930420039
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",27,0.163477531016369,0.18713000542842
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",27,0.116955590054092,0.128051595273403
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",28,0.196031558963025,0.234935760286686
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",28,0.164933029135616,0.197796507059199
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",29,0.164786540808529,0.235878295474873
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",29,0.153995159726069,0.211903885200126
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",30,0.115590673604753,0.138164597624155
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",30,0.0460913111837938,0.0524481548533133
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",31,0.0905333229683065,0.11793685126238
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",31,0.0556174820994824,0.0653466399371159
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",32,0.129732981082361,0.161008722260023
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",32,0.0869173773932797,0.117836698247579
