"rep","engine","success","logLik","df","converged","iter","mu_irmse","sigma_irmse","theta_irmse","elapsed_sec","error"
10,"ours_rs_joint",TRUE,-4081.75703989082,NA,TRUE,6,0.10291086256124,0.153469702746406,0.0548322367221572,364.509812831879,NA
11,"gamlss",TRUE,-4497.79533068794,20.9999999585338,TRUE,5,0.121976711463711,0.163300462446726,NA,2.20594787597656,NA
11,"ours_rs_joint",TRUE,-4099.39029082465,NA,TRUE,8,0.0902276772482913,0.131401577885715,0.0677345622268987,488.157687902451,NA
12,"gamlss",TRUE,-4397.33787477879,21.0000000609508,TRUE,4,0.0691631863386105,0.121323264768447,NA,1.29885601997375,NA
12,"ours_rs_joint",TRUE,-4056.84057023593,NA,TRUE,10,0.0794623947552434,0.110366204856541,0.071296005690249,507.216026067734,NA
13,"gamlss",TRUE,-4477.51687498978,21.0000001324002,TRUE,5,0.0642125776032532,0.160090563404027,NA,0.694293022155762,NA
13,"ours_rs_joint",TRUE,-4046.19241259214,NA,TRUE,8,0.0622631257743603,0.106590977839171,0.0468916350189906,457.120835065842,NA
14,"gamlss",TRUE,-4389.38923705556,21.0000080876645,TRUE,5,0.0816155961805302,0.117243906784506,NA,3.81957411766052,NA
14,"ours_rs_joint",TRUE,-3941.93781546362,NA,TRUE,8,0.0864016057590539,0.0993171843464303,0.0887804014174835,377.931058883667,NA
15,"gamlss",TRUE,-4438.26873444849,21.0000144826605,TRUE,4,0.0427267869284707,0.18898330436516,NA,0.792569875717163,NA
15,"ours_rs_joint",TRUE,-4022.30604474124,NA,TRUE,8,0.0406025099682768,0.168404197822407,0.0607560440810062,351.719397068024,NA
16,"gamlss",TRUE,-4443.31223426824,21.0000053543311,TRUE,4,0.0873403913841949,0.249574114402888,NA,0.705224990844727,NA
16,"ours_rs_joint",TRUE,-4037.0853870448,NA,TRUE,5,0.0667380613295317,0.166152872515176,0.112213895455475,467.544064998627,NA
17,"gamlss",TRUE,-4481.02042180757,21.0000001255275,TRUE,4,0.103950987937077,0.135085746056391,NA,1.2089102268219,NA
17,"ours_rs_joint",TRUE,-4026.82427779643,NA,TRUE,6,0.0908268366079182,0.087266377727309,0.0770234728577144,415.994087934494,NA
18,"gamlss",TRUE,-4392.73798775394,21.0000000867944,TRUE,5,0.0655144081331667,0.191605378427204,NA,0.858707189559937,NA
18,"ours_rs_joint",TRUE,-3989.64033663418,NA,TRUE,9,0.0633570785439728,0.0836681988748677,0.0478504836230296,381.43671298027,NA
19,"gamlss",TRUE,-4407.44544383469,21.0000042141237,TRUE,6,0.0650204579601677,0.184897922811683,NA,1.81851291656494,NA
19,"ours_rs_joint",TRUE,-3984.75675525686,NA,TRUE,6,0.0403296572091563,0.165597182126409,0.10458178895954,551.825613975525,NA
20,"gamlss",TRUE,-4423.16232712087,21.0000000250905,TRUE,4,0.0566234559651561,0.213653580323905,NA,0.756433010101318,NA
20,"ours_rs_joint",TRUE,-4005.70635885501,NA,TRUE,9,0.0333568408497764,0.228349228017749,0.101818460821931,618.928359031677,NA
21,"gamlss",TRUE,-4412.45301949701,21.0000000417302,TRUE,5,0.0630940546234843,0.155449606767758,NA,0.750555992126465,NA
21,"ours_rs_joint",TRUE,-4034.19404435825,NA,TRUE,6,0.0496655702379097,0.111590460656541,0.0512178155734881,503.940382957458,NA
22,"gamlss",TRUE,-4484.71005148213,21.000000052524,TRUE,5,0.081453641744557,0.24741461029747,NA,0.885729074478149,NA
22,"ours_rs_joint",TRUE,-4059.0773860281,NA,TRUE,7,0.0784533036417418,0.23789101129481,0.0554225065642767,436.662160158157,NA
23,"gamlss",TRUE,-4514.28005439756,21.0000239901814,TRUE,4,0.0915891950135977,0.250958483771091,NA,0.807276010513306,NA
23,"ours_rs_joint",TRUE,-4126.8028594559,NA,TRUE,7,0.072936792956997,0.274972722523633,0.101602608640076,555.103173017502,NA
24,"gamlss",TRUE,-4508.03886706721,21.0000039974371,TRUE,5,0.10305395259411,0.225301511006476,NA,0.950509071350098,NA
24,"ours_rs_joint",TRUE,-4083.59755123917,NA,TRUE,9,0.088108451611661,0.124188201763877,0.0998314164490239,575.942745923996,NA
25,"gamlss",TRUE,-4534.10939998904,21.000000054878,TRUE,4,0.0407841285114541,0.0941380016736824,NA,1.09924697875977,NA
25,"ours_rs_joint",TRUE,-4132.76623571058,NA,TRUE,8,0.0401905664819618,0.0856471036431598,0.0396426496742071,522.487582921982,NA
