"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4_nbi_signal2",500,4,6,"gamlss",-4354.45853203202,-4354.45853203202,0,-2.17722926601601,100,8964.5506352,2
"n500_d4_nbi_signal2",500,4,6,"ours_rs_joint",-4179.01816057968,-4729.57518298228,550.557022402603,-2.08950908028984,100,3.89583758601513,0.5
"n500_d4_nbi_signal2",500,4,6,"ours_rs_joint",-4179.01816057968,-4729.57518298228,550.557022402603,-2.08950908028984,100,5055.1775576,2
"n500_d4_nbi_signal2",500,4,7,"gamlss",-4508.51247116907,-4508.51247116907,0,-2.25425623558453,100,4.90807417577729,0.5
"n500_d4_nbi_signal2",500,4,7,"gamlss",-4508.51247116907,-4508.51247116907,0,-2.25425623558453,100,8762.1515472,2
"n500_d4_nbi_signal2",500,4,7,"ours_rs_joint",-4233.91991476096,-4909.4312051612,675.511290400238,-2.11695995738048,100,4.05281243312056,0.5
"n500_d4_nbi_signal2",500,4,7,"ours_rs_joint",-4233.91991476096,-4909.4312051612,675.511290400238,-2.11695995738048,100,6576.6793634,2
"n500_d4_nbi_signal2",500,4,8,"gamlss",-4540.86846915749,-4540.86846915749,0,-2.27043423457874,100,4.967306868154,0.5
"n500_d4_nbi_signal2",500,4,8,"gamlss",-4540.86846915749,-4540.86846915749,0,-2.27043423457874,100,15308.7599258,2
"n500_d4_nbi_signal2",500,4,8,"ours_rs_joint",-4319.10281093845,-4917.54143473114,598.438623792685,-2.15955140546923,100,4.20380427167292,0.5
"n500_d4_nbi_signal2",500,4,8,"ours_rs_joint",-4319.10281093845,-4917.54143473114,598.438623792685,-2.15955140546923,100,13733.1555408,2
"n500_d4_nbi_signal2",500,4,9,"gamlss",-4430.2081796657,-4430.2081796657,0,-2.21510408983285,100,5.01552998693868,0.5
"n500_d4_nbi_signal2",500,4,9,"gamlss",-4430.2081796657,-4430.2081796657,0,-2.21510408983285,100,9146.1459806,2
"n500_d4_nbi_signal2",500,4,9,"ours_rs_joint",-4240.81765208224,-4891.26821632835,650.450564246113,-2.12040882604112,100,4.17010099739797,0.5
"n500_d4_nbi_signal2",500,4,9,"ours_rs_joint",-4240.81765208224,-4891.26821632835,650.450564246113,-2.12040882604112,100,7313.7851348,2
"n500_d4_nbi_signal2",500,4,10,"gamlss",-4378.99509585695,-4378.99509585695,0,-2.18949754792848,100,4.75836868330846,0.5
"n500_d4_nbi_signal2",500,4,10,"gamlss",-4378.99509585695,-4378.99509585695,0,-2.18949754792848,100,5432.4087364,2
"n500_d4_nbi_signal2",500,4,10,"ours_rs_joint",-4228.44267927082,-4777.06756217903,548.624882908206,-2.11422133963541,100,4.01429799495154,0.5
"n500_d4_nbi_signal2",500,4,10,"ours_rs_joint",-4228.44267927082,-4777.06756217903,548.624882908206,-2.11422133963541,100,4124.8508214,2
"n500_d4_nbi_signal2",500,4,11,"gamlss",-4456.18269166198,-4456.18269166198,0,-2.22809134583099,100,5.0576959076841,0.5
"n500_d4_nbi_signal2",500,4,11,"gamlss",-4456.18269166198,-4456.18269166198,0,-2.22809134583099,100,8848.9329246,2
"n500_d4_nbi_signal2",500,4,11,"ours_rs_joint",-4251.80446401515,-4859.34485567013,607.540391654985,-2.12590223200757,100,4.11360691348462,0.5
"n500_d4_nbi_signal2",500,4,11,"ours_rs_joint",-4251.80446401515,-4859.34485567013,607.540391654985,-2.12590223200757,100,6683.915576,2
"n500_d4_nbi_signal2",500,4,12,"gamlss",-4373.39560228916,-4373.39560228916,0,-2.18669780114458,100,4.92597077123511,0.5
"n500_d4_nbi_signal2",500,4,12,"gamlss",-4373.39560228916,-4373.39560228916,0,-2.18669780114458,100,10313.4848004,2
"n500_d4_nbi_signal2",500,4,12,"ours_rs_joint",-4172.94903927686,-4779.54091712802,606.591877851162,-2.08647451963843,100,4.13088838340508,0.5
"n500_d4_nbi_signal2",500,4,12,"ours_rs_joint",-4172.94903927686,-4779.54091712802,606.591877851162,-2.08647451963843,100,9153.493244,2
"n500_d4_nbi_signal2",500,4,13,"gamlss",-4487.74913577092,-4487.74913577092,0,-2.24387456788546,100,4.8897306182537,0.5
"n500_d4_nbi_signal2",500,4,13,"gamlss",-4487.74913577092,-4487.74913577092,0,-2.24387456788546,100,8689.973064,2
"n500_d4_nbi_signal2",500,4,13,"ours_rs_joint",-4253.57907202972,-4822.88029341803,569.301221388309,-2.12678953601486,100,4.06706316789427,0.5
"n500_d4_nbi_signal2",500,4,13,"ours_rs_joint",-4253.57907202972,-4822.88029341803,569.301221388309,-2.12678953601486,100,7273.8621836,2
"n500_d4_nbi_signal2",500,4,14,"gamlss",-4521.77781226559,-4521.77781226559,0,-2.26088890613279,100,4.82005622997761,0.5
"n500_d4_nbi_signal2",500,4,14,"gamlss",-4521.77781226559,-4521.77781226559,0,-2.26088890613279,100,12332.6199802,2
"n500_d4_nbi_signal2",500,4,14,"ours_rs_joint",-4300.21117974196,-4827.47922264238,527.268042900416,-2.15010558987098,100,4.23621469322347,0.5
"n500_d4_nbi_signal2",500,4,14,"ours_rs_joint",-4300.21117974196,-4827.47922264238,527.268042900416,-2.15010558987098,100,11721.2504568,2
"n500_d4_nbi_signal2",500,4,15,"gamlss",-4472.09715913667,-4472.09715913667,0,-2.23604857956834,100,5.03993404613064,0.5
"n500_d4_nbi_signal2",500,4,15,"gamlss",-4472.09715913667,-4472.09715913667,0,-2.23604857956834,100,9666.2990014,2
"n500_d4_nbi_signal2",500,4,15,"ours_rs_joint",-4209.83858758799,-4826.95293774369,617.114350155697,-2.104919293794,100,4.09313902554281,0.5
"n500_d4_nbi_signal2",500,4,15,"ours_rs_joint",-4209.83858758799,-4826.95293774369,617.114350155697,-2.104919293794,100,6580.6871644,2
"n500_d4_nbi_signal2",500,4,16,"gamlss",-4491.99189364967,-4491.99189364967,0,-2.24599594682484,100,5.04609682673408,0.5
"n500_d4_nbi_signal2",500,4,16,"gamlss",-4491.99189364967,-4491.99189364967,0,-2.24599594682484,100,12466.1438662,2
"n500_d4_nbi_signal2",500,4,16,"ours_rs_joint",-4274.03589930674,-4908.36464113401,634.328741827276,-2.13701794965337,100,4.1694118403563,0.5
"n500_d4_nbi_signal2",500,4,16,"ours_rs_joint",-4274.03589930674,-4908.36464113401,634.328741827276,-2.13701794965337,100,9511.7380908,2
"n500_d4_nbi_signal2",500,4,17,"gamlss",-4414.60730659843,-4414.60730659843,0,-2.20730365329921,100,4.79694871308326,0.5
"n500_d4_nbi_signal2",500,4,17,"gamlss",-4414.60730659843,-4414.60730659843,0,-2.20730365329921,100,6254.8340018,2
"n500_d4_nbi_signal2",500,4,17,"ours_rs_joint",-4226.35941312844,-4810.34155135625,583.982138227808,-2.11317970656422,100,3.86209505064332,0.5
"n500_d4_nbi_signal2",500,4,17,"ours_rs_joint",-4226.35941312844,-4810.34155135625,583.982138227808,-2.11317970656422,100,3869.1872664,2
"n500_d4_nbi_signal2",500,4,18,"gamlss",-4480.47573513164,-4480.47573513164,0,-2.24023786756582,100,4.77268224165229,0.5
"n500_d4_nbi_signal2",500,4,18,"gamlss",-4480.47573513164,-4480.47573513164,0,-2.24023786756582,100,10837.637389,2
"n500_d4_nbi_signal2",500,4,18,"ours_rs_joint",-4286.54439464076,-4885.35762510808,598.813230467324,-2.14327219732038,100,4.17062304294507,0.5
"n500_d4_nbi_signal2",500,4,18,"ours_rs_joint",-4286.54439464076,-4885.35762510808,598.813230467324,-2.14327219732038,100,8965.881045,2
