"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.277272727272727,0.567358978937918,0.541944609716231
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.287171717171717,0.551515237887582,0.535067153715406
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.297070707070707,0.532525466365961,0.526120462881014
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.306969696969697,0.510329544543639,0.515139136242711
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.316868686868687,0.485159765649665,0.502165641261714
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.326767676767677,0.457387016284489,0.487250149598798
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.336666666666667,0.427383015331334,0.470450343088279
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.346565656565657,0.395519481464451,0.45183119066833
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.356464646464646,0.362168953174804,0.431464697130298
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.366363636363636,0.327713006488757,0.409429624658655
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.376262626262626,0.292538530717073,0.385811188238477
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.386161616161616,0.257032570149813,0.360700726108368
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.396060606060606,0.221582124550845,0.334195346533273
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.405959595959596,0.186571800967903,0.306397552263199
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.415858585858586,0.152349346969801,0.277414844130144
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.425757575757576,0.119234293374444,0.247359305316236
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.435656565656566,0.0875454335451221,0.216347167900801
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.445555555555556,0.0576015609737187,0.18449836336264
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.455454545454545,0.0297127540954695,0.151936058775831
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.465353535353535,0.00399842889909699,0.118786180492691
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.475252525252525,-0.0196073851709203,0.085176927155943
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.485151515151515,-0.0411783175688086,0.0512382739233809
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.495050505050505,-0.0607871541173984,0.0171014698223197
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.504949494949495,-0.07851871400184,-0.0171014698223193
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.514848484848485,-0.0947509536351821,-0.0512382739233808
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.524747474747475,-0.110231799188329,-0.0851769271559428
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.534646464646465,-0.125730835687059,-0.118786180492691
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.544545454545455,-0.142017649362952,-0.151936058775831
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.554444444444444,-0.159856281479333,-0.18449836336264
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.564343434343434,-0.179674444297166,-0.216347167900801
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.574242424242424,-0.201375358292263,-0.247359305316236
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.584141414141414,-0.224816904652502,-0.277414844130144
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.594040404040404,-0.249856938346396,-0.306397552263199
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.603939393939394,-0.276351379204901,-0.334195346533273
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.613838383838384,-0.303900997041678,-0.360700726108368
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.623737373737374,-0.331599344323929,-0.385811188238477
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.633636363636364,-0.358480030680103,-0.409429624658655
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.643535353535354,-0.383576666294506,-0.431464697130298
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.653434343434343,-0.405923612087025,-0.45183119066833
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.663333333333333,-0.424875504827222,-0.470450343088279
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.673232323232323,-0.440606317601576,-0.487250149598798
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.683131313131313,-0.453419095514115,-0.502165641261714
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.693030303030303,-0.463616895099717,-0.515139136242711
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.702929292929293,-0.471502768527457,-0.526120462881014
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.712828282828283,-0.477421864044677,-0.535067153715406
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.722727272727273,-0.481858947524274,-0.541944609716231
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.732626262626263,-0.485327842875547,-0.546726234088256
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.742525252525252,-0.488342348209956,-0.549393535126948
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.752424242424242,-0.491417394810469,-0.549936197730394
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.762323232323232,-0.49485136231813,-0.548352123290309
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.772222222222222,-0.498027912607238,-0.544647437807864
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.782121212121212,-0.500075815381624,-0.53883646820295
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.792020202020202,-0.500124975710836,-0.530941686908495
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.801919191919192,-0.497305396564028,-0.520993624964097
