"scenario","model","n","d","parameter","s1","smooth_true","smooth_median","smooth_q05","smooth_q95","bias","rmse","missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","missing_label"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.73,-0.0183706064707613,-0.0202235822152717,-0.0742412046478941,0.0260265874171834,-0.00148252889135934,0.0347989725984747,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.71,0.00469571114387557,0.00347973988119742,-0.0528639538417137,0.0509116942996606,0.00121414164801911,0.0354086451316259,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.88,-0.376500908260779,-0.369389141411671,-0.407364365449392,-0.332764161365759,0.00763356048449998,0.023570773712381,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.86,-0.423782283526684,-0.414546658296933,-0.450061622613361,-0.37883064405414,0.010863005214309,0.0240789218162533,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.67,0.0478267763399046,0.0550993564207755,-0.0102809699404652,0.109145211125579,0.00625130108337006,0.0366308437856048,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.33,-0.141886399260218,-0.134712701527704,-0.159196854570084,-0.0895827257548429,0.0133973729354279,0.0259942652175483,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.31,-0.108517662835106,-0.106332113505193,-0.13136976032915,-0.0707717335805013,0.00568788111564979,0.0205739464049474,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.29,-0.0734872631791594,-0.0711925378369516,-0.104478433850761,-0.0499726574267417,-0.00207065479445961,0.019471735919834,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.63,0.0862695122781584,0.0978243760048608,0.0320888535348637,0.158284141669108,0.0102904407192334,0.0375689605692324,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.61,0.103492763453817,0.117949209154684,0.0537756115112628,0.178702224944975,0.0117539586734512,0.0378167599848043,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.43,-0.266408412769509,-0.224372096511966,-0.330627802516003,0.000178592407514712,0.0517577945201479,0.110613023191173,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.76,-0.548914700635549,-0.546884930035476,-0.587952939787707,-0.493485448458057,0.00649347571460899,0.0309782817770889,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.74,-0.548914700635549,-0.545289073018633,-0.596457753979298,-0.496990667061631,0.0047900806868487,0.0320449828726321,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.72,-0.540257987900779,-0.531769548338078,-0.594150380173852,-0.494088919458912,0.00349472498888467,0.0329852051966627,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.88,-0.376500908260779,-0.366998841516226,-0.407738381089197,-0.333474345984251,0.0119517588046286,0.0268952418937543,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.86,-0.423782283526684,-0.412387529921696,-0.454922789584616,-0.37811118771378,0.0113096173857944,0.0266767942455617,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.68,-0.497654878856311,-0.489172043737868,-0.557402644690847,-0.452973560655781,0.00208220184076691,0.0339231082396969,"mar",0,0,1,"0%"
