"missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","model","parameter","mean_rmse","mean_abs_bias","mean_coverage_95","target_missing_pct"
"mar",0.4,0.398625,0.398133333333333,"gamlss.longitudinal","nu",0.129943193894896,0.0342067510030958,0.941176470588235,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss.longitudinal","nu",0.135711312017531,0.0355449181979392,0.916666666666667,40
"mar",0.5,0.500025,0.283,"gamlss.longitudinal","nu",0.13208674492218,0.0314072390787068,0.947368421052632,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss.longitudinal","nu",0.140025839355116,0.0404584264792157,0.980392156862745,50
"mar",0,0,1,"gamlss2","sigma",0.0388940217543949,0.00282025776909536,0.85,0
"time_mar",0,0,1,"gamlss2","sigma",0.0388940217543949,0.00282025776909536,0.85,0
"mar",0.1,0.099175,0.817933333333333,"gamlss2","sigma",0.0410354972525091,0.00360048549151742,0.85,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss2","sigma",0.0400803556548541,0.00285818131684922,0.866666666666667,10
"mar",0.2,0.200625,0.655166666666667,"gamlss2","sigma",0.0420881225519797,0.00168898203751394,0.9,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss2","sigma",0.0409482346266488,0.00270592090548252,0.916666666666667,20
"mar",0.3,0.30165,0.514,"gamlss2","sigma",0.044635448559859,0.00691046891153365,0.883333333333333,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss2","sigma",0.0445228986561974,0.00491864427719091,0.883333333333333,30
"mar",0.4,0.398625,0.398133333333333,"gamlss2","sigma",0.0495953169855546,0.00310474374000939,0.916666666666667,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss2","sigma",0.0482423779092354,0.00540275610175878,0.916666666666667,40
"mar",0.5,0.500025,0.283,"gamlss2","sigma",0.056207846641656,0.0154694961364771,0.9,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss2","sigma",0.0583194002170212,0.00818168287904264,0.916666666666667,50
"mar",0,0,1,"gamlss.longitudinal","sigma",0.0352561414971754,0.00382166320715166,0.966666666666667,0
"time_mar",0,0,1,"gamlss.longitudinal","sigma",0.0352561414971754,0.00382166320715166,0.966666666666667,0
"mar",0.1,0.099175,0.817933333333333,"gamlss.longitudinal","sigma",0.0362649119196309,0.00434254559278156,0.972222222222222,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss.longitudinal","sigma",0.0366687800259062,0.00638318102962337,0.974358974358974,10
"mar",0.2,0.200625,0.655166666666667,"gamlss.longitudinal","sigma",0.0361551433475729,0.00927917414277585,0.958333333333333,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss.longitudinal","sigma",0.0385925909462381,0.00751215504346866,1,20
"mar",0.3,0.30165,0.514,"gamlss.longitudinal","sigma",0.0447138359825453,0.00454691533616978,0.933333333333333,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss.longitudinal","sigma",0.0459165347897557,0.0231037681508044,0.933333333333333,30
"mar",0.4,0.398625,0.398133333333333,"gamlss.longitudinal","sigma",0.0474729946578613,0.00512336507027869,0.96078431372549,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss.longitudinal","sigma",0.05292382204477,0.00961483758237467,0.916666666666667,40
"mar",0.5,0.500025,0.283,"gamlss.longitudinal","sigma",0.0490397583696471,0.0149688461721888,1,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss.longitudinal","sigma",0.0563481722335722,0.00970113420286174,0.92156862745098,50
"mar",0,0,1,"gamlss2","tau",0.104110673237841,0.0352307724090483,0.866666666666667,0
"time_mar",0,0,1,"gamlss2","tau",0.104110673237841,0.0352307724090483,0.866666666666667,0
"mar",0.1,0.099175,0.817933333333333,"gamlss2","tau",0.120796361038349,0.0310688602398073,0.9,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss2","tau",0.126496612037283,0.0373339839857603,0.9,10
"mar",0.2,0.200625,0.655166666666667,"gamlss2","tau",0.113400570037569,0.0367971328498237,0.916666666666667,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss2","tau",0.121320785794189,0.0292605884201445,0.933333333333333,20
"mar",0.3,0.30165,0.514,"gamlss2","tau",0.14459177667553,0.0406161121469076,0.916666666666667,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss2","tau",0.132718357773822,0.035457247767316,0.95,30
