"artifact_id","artifact_type","manuscript_path","manuscript_label","producer","profiles","input_bundle","access","publication_status","verification","approved_sha256","generated_path"
"p2_recovery_sensitivity","table","tables/phase2-main-recovery-failure-sensitivity.csv","phase2:recovery-sensitivity","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/failure_inclusive_sensitivity.csv"
"p2_recovery_bundle_status","audit","evidence/main-recovery/bundle_status.csv","phase2:recovery-bundle-status","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/bundle_status.csv"
"p2_recovery_provenance","audit","evidence/main-recovery/production_provenance.csv","phase2:recovery-provenance","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/production_provenance.csv"
"p2_recovery_validation","audit","evidence/main-recovery/evidence_validation.csv","phase2:recovery-validation","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/evidence_validation.csv"
"p2_recovery_input_hashes","audit","evidence/main-recovery/input_provenance.csv","phase2:recovery-input-hashes","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/input_provenance.csv"
"p2_recovery_paired","table","tables/phase2-main-recovery-paired-differences.csv","phase2:recovery-paired","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/paired_method_differences.csv"
"p2_recovery_fixed_attempt","data","evidence/main-recovery/fixed_by_attempt.csv","phase2:recovery-fixed-attempt","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/fixed_by_attempt.csv"
"p2_recovery_smooth_attempt","data","evidence/main-recovery/smooth_by_attempt.csv","phase2:recovery-smooth-attempt","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/smooth_by_attempt.csv"
"p2_recovery_predictive_attempt","data","evidence/main-recovery/predictive_by_attempt.csv","phase2:recovery-predictive-attempt","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/predictive_by_attempt.csv"
"p2_recovery_diagnostic_attempt","data","evidence/main-recovery/diagnostic_by_attempt.csv","phase2:recovery-diagnostic-attempt","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/diagnostic_by_attempt.csv"
"p2_recovery_output_manifest","audit","evidence/main-recovery/output_manifest.csv","phase2:recovery-output-manifest","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/output_manifest.csv"
"p2_recovery_checkpoint","audit","evidence/main-recovery/bundle_checkpoint.csv","phase2:recovery-checkpoint","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/bundle_checkpoint.csv"
"p2_recovery_runner_identity","audit","evidence/main-recovery/runner_settings_identity.csv","phase2:recovery-runner-identity","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/runner_settings_identity.csv"
"p2_recovery_bcpe_settings","audit","evidence/main-recovery/runner_settings_bcpe.csv","phase2:recovery-bcpe-settings","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/runner_settings_bcpe.csv"
"p2_recovery_nbi_settings","audit","evidence/main-recovery/runner_settings_nbi.csv","phase2:recovery-nbi-settings","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/runner_settings_nbi.csv"
"p2_recovery_control_sources","audit","evidence/main-recovery/control_source_manifest.csv","phase2:recovery-control-sources","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/control_source_manifest.csv"
"p2_optimizer_design","data","evidence/optimizer/candidate-selection.csv","phase2:optimizer-design","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","data/03-joint-vs-separate-optimization-candidate-selection.csv"
"p2_optimizer_precision","data","evidence/optimizer/mc-precision.csv","phase2:optimizer-precision","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","data/03-joint-vs-separate-optimization-mc-precision.csv"
"p2_optimizer_checkpoints","audit","evidence/optimizer/checkpoint-status.csv","phase2:optimizer-checkpoints","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","data/03-joint-vs-separate-optimization-checkpoint-status.csv"
"p2_optimizer_figure_registry","audit","evidence/optimizer/figure-registry.csv","phase2:optimizer-figure-registry","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","data/03-joint-vs-separate-optimization-figure-registry.csv"
"p2_optimizer_checkpoint_archive","checkpoint_archive","evidence/optimizer/checkpoint-payloads.rds","phase2:optimizer-checkpoint-archive","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","raw_sha256","","data/03-joint-vs-separate-optimization-checkpoint-payloads.rds"
"p2_optimizer_checkpoint_manifest","audit","evidence/optimizer/checkpoint-content-manifest.csv","phase2:optimizer-checkpoint-manifest","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","data/03-joint-vs-separate-optimization-checkpoint-content-manifest.csv"
"p2_optimizer_attempts","data","evidence/optimizer/results.csv","phase2:optimizer-attempts","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","data/03-joint-vs-separate-optimization-results.csv"
"p2_optimizer_summary","table","tables/phase2-optimizer-summary.csv","phase2:optimizer-summary","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","tables/03-joint-vs-separate-optimization-summary.csv"
"p2_optimizer_wins","table","tables/phase2-optimizer-metric-wins.csv","phase2:optimizer-wins","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","tables/03-joint-vs-separate-optimization-metric-wins.csv"
"p2_optimizer_hypotheses","table","tables/phase2-optimizer-hypotheses.csv","phase2:optimizer-hypotheses","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","tables/03-joint-vs-separate-optimization-hypothesis-summary.csv"
"p2_optimizer_failures","table","tables/phase2-optimizer-failures.csv","phase2:optimizer-failures","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","tables/03-joint-vs-separate-optimization-failures.csv"
"p2_optimizer_uncertainty","table","tables/phase2-optimizer-uncertainty.csv","phase2:optimizer-uncertainty","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","tables/03-joint-vs-separate-optimization-difference-uncertainty.csv"
"p2_optimizer_hypothesis_evidence","table","tables/phase2-optimizer-hypothesis-evidence.csv","phase2:optimizer-hypothesis-evidence","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","canonical_sha256","","tables/03-joint-vs-separate-optimization-hypothesis-evidence.csv"
"p2_optimizer_deltas","figure","charts/phase2-optimizer-deltas.png","fig:phase2-optimizer-deltas","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","dimensions_nonblank","","figures/03-joint-vs-separate-optimization-deltas.png"
"p2_optimizer_dashboard","figure","charts/phase2-optimizer-dashboard.png","fig:phase2-optimizer-dashboard","module_03_joint_vs_separate","paper|full","optimizer-benchmark","public","active","dimensions_nonblank","","figures/03-joint-vs-separate-optimization-metric-dashboard.png"
"p2_missing_design","data","evidence/missingness/design-registry.csv","phase2:missingness-design","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_design_registry.csv"
"p2_missing_estimand","data","evidence/missingness/estimand-registry.csv","phase2:missingness-estimand","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_estimand_registry.csv"
"p2_missing_sensitivity","data","evidence/missingness/sensitivity-registry.csv","phase2:missingness-sensitivity","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_sensitivity_registry.csv"
"p2_missing_checkpoint_status","audit","evidence/missingness/checkpoint-status.csv","phase2:missingness-checkpoint-status","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_checkpoint_status.csv"
"p2_missing_checkpoint_archive","checkpoint_archive","evidence/missingness/checkpoint-payloads.rds","phase2:missingness-checkpoint-archive","module_04_missingness","paper|full","missingness","public","active","raw_sha256","","data/missingness/missingness_checkpoint_payloads.rds"
"p2_missing_checkpoint_manifest","audit","evidence/missingness/checkpoint-content-manifest.csv","phase2:missingness-checkpoint-manifest","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_checkpoint_content_manifest.csv"
"p2_missing_attempts","data","evidence/missingness/fit-run-log.csv","phase2:missingness-attempts","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/fit_run_log.csv"
"p2_missing_attempt_failures","table","tables/phase2-missingness-attempt-failures.csv","phase2:missingness-attempt-failures","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/attempt_failure_summary.csv"
"p2_missing_failure_reasons","table","tables/phase2-missingness-failure-reasons.csv","phase2:missingness-failure-reasons","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/failure_reason_summary.csv"
"p2_missing_warning_events","audit","evidence/missingness/warning-events.csv","phase2:missingness-warning-events","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_warning_events.csv"
